construct,promoter,name,ts,miR,ts_num,ts_kind,ts_loc,miR_loc,design,group,pKG
RC204,EF1a,EF1a-TS.FF4x1-mRuby2-miR.FF4-bGH,FF4x1,miR.FF4,1,T,5',UTR,3,controller,3171
RC205,CAG,CAG-mGL-bGH,na,na,0,na,na,na,0,marker,0
RC206,EF1a,EF1a-mRuby2-miRE.FF4-bGH,none,miRE.FF4,0,na,na,UTR,0,miR,3172
RC207,EF1a,EF1a-TS.FF6x1-mRuby2(miRE.FF4)-bGH,FF6x1,miRE.FF4,1,NT,5',CDS,2,controller,3173
RC208,EF1a,EF1a-TS.FF4x1-mRuby2(miRE.FF4)-bGH,FF4x1,miRE.FF4,1,T,5',CDS,2,controller,3174
RC209,EF1a,EF1a-TS.FF6x1-mRuby2-miRE.FF4-bGH,FF6x1,miRE.FF4,1,NT,5',UTR,3,controller,3175
RC210,EF1a,EF1a-TS.FF4x1-mRuby2-miRE.FF4-bGH,FF4x1,miRE.FF4,1,T,5',UTR,3,controller,3176
RC211,hPGK,hPGK-mRuby2(miRE.FF5)-bGH,none,miRE.FF5,0,na,na,CDS,0,miR,2971
RC212,hPGK,hPGK-mRuby2-miRE.FF5-bGH,none,miRE.FF5,0,na,na,UTR,0,miR,2956
RC213,hPGK,hPGK-mRuby2(miRE.FF5)-TS.FF6x1-bGH,FF6x1,miRE.FF5,1,NT,3',CDS,1,controller,2972
RC214,hPGK,hPGK-mRuby2(miRE.FF5)-TS.FF5x1-bGH,FF5x1,miRE.FF5,1,T,3',CDS,1,controller,2973
RC215,hPGK,hPGK-TS.FF6x1-mRuby2(miRE.FF5)-bGH,FF6x1,miRE.FF5,1,NT,5',CDS,2,controller,2995
RC216,hPGK,hPGK-TS.FF5x1-mRuby2(miRE.FF5)-bGH,FF5x1,miRE.FF5,1,T,5',CDS,2,controller,2996
RC217,hPGK,hPGK-TS.FF6x1-mRuby2-miRE.FF5-bGH,FF6x1,miRE.FF5,1,NT,5',UTR,3,controller,2957
RC218,hPGK,hPGK-TS.FF5x1-mRuby2-miRE.FF5-bGH,FF5x1,miRE.FF5,1,T,5',UTR,3,controller,2958
RC219,EF1a,EF1a-mRuby2(miRE.FF5)-bGH,none,miRE.FF5,0,na,na,CDS,0,miR,2997
